iter	MultiClass
0	0.9929794206
1	0.912967599
2	0.8487494079
3	0.796932463
4	0.7483050162
5	0.7079033278
6	0.673663175
7	0.6431826747
8	0.6140524214
9	0.5920515364
10	0.5707514126
11	0.5515025853
12	0.5351467477
13	0.520380662
14	0.5078723385
15	0.4956713072
16	0.4853277863
17	0.4754906708
18	0.4670162788
19	0.4592544442
20	0.451688335
21	0.4454903228
22	0.4395310387
23	0.4337895834
24	0.4288933737
25	0.4243411629
26	0.4203903028
27	0.4167582171
28	0.4131132481
29	0.409941934
30	0.4071484121
31	0.404789325
32	0.4019872766
33	0.3995297052
34	0.3974044644
35	0.3958038713
36	0.3937030218
37	0.3920999894
38	0.3904164696
39	0.3885519632
40	0.387000631
41	0.3853821638
42	0.3843057446
43	0.3829013914
44	0.3819554385
45	0.3808594036
46	0.3799587932
47	0.3791929545
48	0.3783553028
49	0.3776630052
50	0.3764297102
51	0.3754549106
52	0.3749410627
53	0.374099986
54	0.3731010213
55	0.3726272876
56	0.3716136548
57	0.3712255253
58	0.3706545398
59	0.3701836129
60	0.3696981969
61	0.3692728771
62	0.3688869615
63	0.3682179222
64	0.3680180421
65	0.367323402
66	0.3664740138
67	0.3657254675
68	0.3652198544
69	0.3644456503
70	0.3639679755
71	0.3636401545
72	0.3631121831
73	0.3625760181
74	0.36191738
75	0.3615071928
76	0.3611503884
77	0.360665136
78	0.3604200862
79	0.3601343927
80	0.359637403
81	0.3591861795
82	0.3589827067
83	0.3586640995
84	0.358241837
85	0.3579821259
86	0.3577327785
87	0.357538102
88	0.3573545853
89	0.3570825436
90	0.3566733327
91	0.3563144961
92	0.3561203057
93	0.3559811252
94	0.3554245351
95	0.3550895393
96	0.3545296856
97	0.3543665749
98	0.3539965881
99	0.3537007963
100	0.3533530883
101	0.3528780818
102	0.3524363366
103	0.3522251024
104	0.3520034288
105	0.3517972172
106	0.3515425339
107	0.3513466842
108	0.3509918152
109	0.3504410712
110	0.3498808744
111	0.3497228427
112	0.3494600889
113	0.3492658693
114	0.3487235401
115	0.3484067351
116	0.3478711376
117	0.347766339
118	0.3473806741
119	0.3469836449
120	0.3468499393
121	0.3464204022
122	0.3458625042
123	0.3453969493
124	0.3451149394
125	0.3447152522
126	0.3444753697
127	0.3442209324
128	0.3438462352
129	0.3435437729
130	0.3432832493
131	0.3428694885
132	0.342618323
133	0.3421759641
134	0.3419980843
135	0.3416794887
136	0.3415802576
137	0.3413303358
138	0.340976794
139	0.3407959853
140	0.3403639852
141	0.3402246574
142	0.340079894
143	0.3397987783
144	0.3393564186
145	0.3390699514
146	0.3387223747
147	0.3383458054
148	0.3381730253
149	0.3379014357
150	0.3377478679
151	0.3375621526
152	0.3374534492
153	0.3373147474
154	0.3369463589
155	0.3368057104
156	0.3366439114
157	0.3364499147
158	0.336271595
159	0.3361486874
160	0.3360124904
161	0.3357717918
162	0.3356696593
163	0.335482263
164	0.3353951731
165	0.3351919236
166	0.335056431
167	0.3347931289
168	0.3345961895
169	0.3344631327
170	0.334306244
171	0.3341495788
172	0.3339064285
173	0.3337278305
174	0.333610069
175	0.333341215
176	0.3331895148
177	0.3329942741
178	0.3326072861
179	0.3323543122
180	0.3320119151
181	0.3319302368
182	0.3317987098
183	0.331438496
184	0.3312216252
185	0.3310908551
186	0.3307862968
187	0.3307071839
188	0.3305337931
189	0.3303116343
190	0.330128567
191	0.3300612369
192	0.3298031578
193	0.3296945134
194	0.3295275596
195	0.3294036439
196	0.329260462
197	0.3290781054
198	0.3289972146
199	0.3287703309
200	0.3285386075
201	0.3283754102
202	0.3282102268
203	0.3280855654
204	0.327971558
205	0.3277657103
206	0.3275187417
207	0.3274043422
208	0.3272999353
209	0.3272056532
210	0.3270593823
211	0.326961056
212	0.3268003478
213	0.3265251179
214	0.3263830947
215	0.3261851649
216	0.3260798255
217	0.325959432
218	0.3257579541
219	0.3255179274
220	0.3252569624
221	0.3250386993
222	0.324886875
223	0.324696187
224	0.3245345476
225	0.3244125008
226	0.3242559667
227	0.3241532522
228	0.3239598784
229	0.3238067253
230	0.3235808545
231	0.3234901395
232	0.323311779
233	0.3231541719
234	0.322941628
235	0.3227832495
236	0.3226940482
237	0.3225805716
238	0.3224609768
239	0.3223636324
240	0.3223070027
241	0.3222092629
242	0.3218445189
243	0.3217118436
244	0.3216269963
245	0.3214696916
246	0.3214022533
247	0.3213435061
248	0.3211817181
249	0.3208211617
250	0.3206505921
251	0.3204412607
252	0.320177351
253	0.320017979
254	0.3198761111
255	0.3196880182
256	0.3195487013
257	0.3194239382
258	0.3193366378
259	0.3192306265
260	0.3191143125
261	0.3190024963
262	0.3189503353
263	0.3187690788
264	0.3185283424
265	0.3183512892
266	0.318201277
267	0.3180587552
268	0.3179344147
269	0.3177167991
270	0.3175930359
271	0.3174927243
272	0.3173924184
273	0.3172980433
274	0.3170553454
275	0.3169399671
276	0.3168064765
277	0.3166690001
278	0.3165688443
279	0.3164675476
280	0.3163266759
281	0.3162435616
282	0.31611821
283	0.3159374454
284	0.3158227805
285	0.3157205507
286	0.3156411812
287	0.3155332411
288	0.3154340819
289	0.3153010908
290	0.3152110582
291	0.3151058716
292	0.314931488
293	0.3148788122
294	0.3147874064
295	0.3146827033
296	0.3145813802
297	0.3144356248
298	0.31428132
299	0.3139520868
300	0.3137734068
301	0.3135041778
302	0.3133843312
303	0.3132761406
304	0.313125094
305	0.3129773555
306	0.3128271042
307	0.3127498446
308	0.3126644142
309	0.3124269311
310	0.3123373921
311	0.3122450019
312	0.3119766676
313	0.3118277152
314	0.311754086
315	0.3115785327
316	0.3114649129
317	0.3113112594
318	0.311188825
319	0.3109525358
320	0.3108536468
321	0.3107661667
322	0.3106335732
323	0.3105200477
324	0.3104396098
325	0.3102804164
326	0.3100721647
327	0.3099607167
328	0.3098321774
329	0.3097522926
330	0.3096366963
331	0.3094741643
332	0.3093737258
333	0.3092927072
334	0.3091689081
335	0.3090676703
336	0.3088378912
337	0.3087338349
338	0.3086607639
339	0.3085237792
340	0.3084467558
341	0.3083438322
