iter	Passed	Remaining
0	60	60348
1	62	31284
2	65	21618
3	67	16780
4	69	13846
5	71	11905
6	74	10498
7	76	9453
8	78	8643
9	80	7988
10	82	7462
11	85	7000
12	87	6617
13	89	6295
14	91	6019
15	93	5771
16	96	5558
17	98	5368
18	100	5196
19	102	5046
20	105	4901
21	107	4770
22	109	4650
23	111	4539
24	113	4438
25	115	4345
26	118	4260
27	120	4178
28	122	4103
29	124	4031
30	126	3966
31	129	3903
32	131	3846
33	133	3791
34	135	3738
35	137	3685
36	139	3639
37	141	3591
38	143	3548
39	146	3507
40	148	3470
41	150	3432
42	152	3397
43	154	3364
44	157	3334
45	159	3303
46	161	3274
47	163	3245
48	165	3217
49	167	3189
50	170	3165
51	172	3141
52	174	3115
53	176	3089
54	178	3066
55	180	3043
56	182	3021
57	184	2999
58	186	2977
59	188	2958
60	190	2937
61	192	2918
62	194	2899
63	197	2882
64	199	2864
65	201	2850
66	203	2834
67	205	2820
68	207	2805
69	210	2790
70	212	2776
71	214	2761
72	216	2747
73	218	2734
74	220	2721
75	222	2710
76	225	2697
77	227	2685
78	229	2674
79	231	2661
80	233	2650
81	235	2638
82	237	2627
83	240	2617
84	242	2606
85	244	2596
86	246	2585
87	248	2575
88	250	2564
89	252	2553
90	254	2545
91	256	2536
92	259	2530
93	261	2524
94	264	2519
95	267	2514
96	269	2507
97	271	2500
98	273	2493
99	276	2484
100	278	2478
101	280	2471
102	283	2466
103	285	2460
104	288	2455
105	290	2449
106	292	2443
107	295	2437
108	297	2431
109	299	2426
110	302	2421
111	304	2414
112	306	2409
113	309	2405
114	312	2401
115	315	2401
116	317	2398
117	320	2392
118	322	2389
119	325	2383
120	327	2379
121	330	2375
122	332	2368
123	334	2362
124	336	2355
125	338	2349
126	340	2341
127	342	2335
128	345	2332
129	347	2326
130	350	2322
131	352	2316
132	354	2310
133	356	2304
134	358	2298
135	360	2292
136	362	2286
137	364	2279
138	367	2274
139	369	2267
140	371	2262
141	373	2256
142	375	2251
143	377	2245
144	379	2240
145	382	2237
146	384	2233
147	387	2228
148	389	2223
149	391	2218
150	393	2212
151	395	2207
152	397	2202
153	400	2197
154	402	2192
155	404	2187
156	406	2182
157	408	2177
158	410	2171
159	412	2167
160	414	2161
161	417	2157
162	419	2153
163	421	2148
164	423	2143
165	425	2138
166	427	2133
167	429	2128
168	432	2124
169	434	2119
170	436	2114
171	438	2110
172	440	2105
173	442	2100
174	444	2095
175	446	2091
176	448	2086
177	450	2082
178	453	2078
179	455	2073
180	457	2069
181	459	2065
182	461	2062
183	464	2058
184	466	2054
185	468	2050
186	470	2046
187	472	2042
188	474	2037
189	477	2033
190	479	2029
191	481	2025
192	483	2021
193	485	2017
194	487	2013
195	489	2009
196	492	2005
197	494	2001
198	496	1997
199	498	1994
200	500	1990
201	503	1987
202	505	1983
203	507	1980
204	509	1976
205	511	1971
206	513	1968
207	515	1964
208	518	1961
209	520	1957
210	522	1953
211	524	1950
212	527	1947
213	529	1943
214	531	1939
215	533	1936
216	535	1932
217	537	1929
218	539	1925
219	542	1922
220	544	1918
221	546	1915
222	548	1912
223	550	1908
224	553	1905
225	555	1902
226	557	1899
227	559	1895
228	562	1892
229	564	1889
230	566	1887
231	569	1883
232	571	1880
233	573	1877
234	575	1874
235	577	1870
236	580	1867
237	582	1864
238	584	1861
239	586	1858
240	589	1855
241	591	1852
242	593	1850
243	596	1847
244	598	1845
245	600	1842
246	603	1838
247	605	1836
248	608	1833
249	610	1830
250	612	1828
251	614	1825
252	617	1822
253	619	1819
254	622	1819
255	624	1816
256	626	1812
257	629	1810
258	631	1807
259	633	1803
260	635	1800
261	638	1798
262	640	1794
263	642	1791
264	645	1789
265	647	1785
266	649	1782
267	651	1779
268	653	1776
269	656	1773
270	658	1770
271	660	1767
272	662	1765
273	665	1762
274	667	1759
275	669	1756
276	671	1753
277	674	1750
278	676	1747
279	678	1744
280	680	1741
281	682	1738
282	685	1735
283	687	1732
284	689	1730
285	691	1727
286	694	1724
287	696	1721
288	698	1719
289	700	1716
290	703	1712
291	705	1709
292	707	1706
293	709	1703
294	711	1700
295	713	1697
296	715	1694
297	718	1692
298	720	1689
299	723	1687
300	725	1684
301	727	1681
302	729	1678
303	731	1674
304	733	1672
305	735	1669
306	738	1666
307	740	1663
308	742	1660
309	744	1657
310	746	1654
311	748	1651
312	751	1648
313	753	1645
314	755	1642
315	757	1639
316	759	1637
317	762	1634
318	764	1631
319	766	1628
320	768	1625
321	770	1622
322	772	1619
323	774	1616
324	776	1613
325	779	1610
326	781	1607
327	783	1604
328	785	1601
329	787	1599
330	789	1596
331	791	1593
332	794	1590
333	795	1587
334	798	1584
335	800	1581
336	802	1578
337	804	1575
338	806	1573
339	809	1570
340	811	1567
341	813	1564
342	815	1561
343	817	1558
344	819	1555
345	821	1553
346	823	1550
347	825	1547
348	828	1544
349	830	1541
350	832	1539
351	834	1536
352	836	1533
353	838	1530
354	840	1527
355	842	1524
356	844	1521
357	847	1519
358	849	1516
359	851	1513
360	853	1510
361	855	1507
362	857	1504
363	859	1502
364	861	1499
365	864	1496
366	866	1493
367	868	1491
368	870	1488
369	872	1485
370	874	1483
